"id_user_source";"reciprocityCount";"profile_1";"profile_2"
"31033";"46";"1";"1"
"31037";"77";"4";"4"
"31056";"43";"1";"1"
"31059";"46";"1";"1"
"31061";"46";"1";"1"
"31064";"46";"1";"1"
"31065";"38";"4";"4"
"31066";"46";"1";"4"
"31069";"86";"4";"4"
"31075";"135";"4";"4"
"31081";"58";"4";"4"
"31084";"46";"1";"1"
"31085";"46";"1";"4"
"31087";"46";"4";"4"
"31093";"46";"1";"1"
"31098";"45";"1";"1"
"31099";"90";"1";"1"
"31101";"46";"1";"1"
"31103";"46";"1";"4"
"31104";"4";"4";"4"
"31107";"46";"1";"1"
"31108";"45";"4";"4"
"31110";"135";"1";"1"
"31113";"180";"4";"4"
"31116";"135";"4";"4"
"31121";"82";"4";"4"
"31125";"40";"1";"1"
"31133";"45";"1";"4"
"31138";"1183";"4";"4"
"31144";"43";"1";"1"
"31149";"36";"1";"1"
"31160";"40";"1";"1"
"31161";"45";"1";"4"
"31167";"45";"1";"1"
"31182";"42";"4";"4"
"31183";"45";"1";"1"
"31189";"43";"1";"1"
"31195";"70";"1";"1"
"31213";"45";"4";"4"
"31217";"45";"1";"1"
"31230";"100";"4";"4"
"31233";"45";"1";"4"
"31234";"89";"4";"4"
"31236";"82";"1";"1"
"31238";"90";"4";"4"
"31243";"285";"4";"4"
"31246";"45";"4";"4"
"31250";"45";"1";"1"
"31251";"47";"4";"4"
"31255";"45";"1";"4"
"31256";"45";"1";"1"
"31263";"44";"1";"4"
"31264";"1536";"4";"4"
"31271";"45";"1";"1"
"31284";"88";"1";"1"
"31290";"32";"4";"4"
"31291";"44";"1";"1"
"31295";"87";"4";"4"
"31296";"49";"4";"4"
"31299";"44";"4";"4"
"31303";"75";"1";"4"
"31304";"44";"1";"4"
"31311";"44";"1";"4"
"31316";"142";"4";"4"
"31318";"323";"4";"4"
"31328";"481";"4";"4"
"31335";"350";"4";"4"
"31341";"88";"1";"1"
"31350";"48";"4";"4"
"31352";"43";"4";"4"
"31357";"44";"4";"4"
"31366";"35";"4";"4"
"31379";"44";"1";"4"
"31381";"129";"4";"4"
"31384";"37";"1";"4"
"31390";"44";"1";"1"
"31393";"23";"4";"4"
"31395";"80";"4";"4"
"31400";"64";"4";"4"
"31402";"15";"4";"4"
"31405";"44";"1";"4"
"31406";"41";"1";"1"
"31408";"127";"4";"4"
"31422";"8";"4";"4"
"31424";"44";"1";"1"
"31426";"304";"4";"4"
"31433";"44";"1";"4"
"31450";"44";"1";"4"
"31454";"43";"1";"1"
"31456";"639";"4";"4"
"31457";"86";"4";"4"
"31458";"116";"4";"4"
"31459";"36";"4";"4"
"31463";"84";"1";"4"
"31466";"205";"4";"4"
"31472";"43";"1";"1"
"31475";"43";"4";"4"
"31493";"88";"4";"4"
"31501";"43";"1";"1"
"31514";"95";"4";"4"
"31515";"128";"1";"4"
"31518";"36";"1";"4"
"31522";"82";"4";"4"
"31552";"42";"1";"4"
"31554";"40";"1";"1"
"31557";"6686";"4";"4"
"31561";"1094";"4";"4"
"31562";"43";"1";"1"
"31563";"43";"4";"4"
"31568";"86";"4";"4"
"31569";"43";"1";"4"
"31572";"76";"4";"4"
"31574";"157";"1";"4"
"31585";"94";"1";"4"
"31588";"43";"1";"1"
"31589";"86";"1";"1"
"31592";"42";"4";"4"
"31600";"2417";"4";"4"
"31605";"39";"1";"4"
"31613";"42";"1";"1"
"31617";"42";"1";"4"
"31618";"58";"4";"4"
"31624";"43";"1";"1"
"31633";"36";"1";"1"
"31634";"10";"4";"4"
"31638";"43";"1";"1"
"31639";"43";"4";"4"
"31648";"43";"1";"1"
"31663";"82";"4";"4"
"31672";"42";"1";"1"
"31674";"39";"1";"1"
"31677";"42";"4";"4"
"31682";"42";"1";"4"
"31690";"42";"4";"4"
"31697";"84";"1";"1"
"31713";"42";"1";"4"
"31718";"42";"4";"4"
"31726";"84";"1";"1"
"31727";"8";"4";"4"
"31736";"12";"4";"4"
"31737";"164";"4";"4"
"31739";"249";"4";"4"
"31744";"42";"1";"1"
"31756";"37";"1";"1"
"31757";"252";"4";"4"
"31762";"25";"4";"4"
"31767";"41";"1";"4"
"31774";"11";"4";"4"
"31776";"42";"1";"1"
"31780";"18";"4";"4"
"31783";"42";"1";"4"
"31788";"30";"4";"4"
"31793";"36";"4";"4"
"31798";"42";"1";"1"
"31804";"163";"1";"1"
"31809";"40";"4";"4"
"31811";"84";"1";"4"
"31817";"42";"1";"1"
"31820";"31";"4";"4"
"31824";"31";"4";"4"
"31827";"42";"1";"4"
"31829";"42";"1";"1"
"31831";"156";"4";"4"
