"period";"profile_1";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"57";"1";"3,5355";"0,8752";"2,6603";"534,3858706799912";"0,00003057740055507781";"0,002160049770914551";"4,8208"
"57";"4";"26,0405";"15,5798";"10,4607";"36856,80565044469";"0,00021827049301783658";"0,024831525747386306";"52,4960"
"58";"1";"3,5498";"0,8833";"2,6664";"560,6339196559584";"0,000029714344739550217";"0,0021541682978311154";"4,8381"
"58";"4";"26,4506";"15,8419";"10,6087";"38763,27663407501";"0,00021412145976991363";"0,024745301247884932";"53,3795"
"59";"1";"3,5660";"0,8859";"2,6800";"592,6884543016687";"0,000028609635442514234";"0,002122013231352175";"4,8683"
"59";"4";"27,0415";"16,2512";"10,7903";"41357,23821474842";"0,00020942549820041745";"0,02459915824493054";"54,6275"
"60";"1";"3,5934";"0,8895";"2,7039";"630,8819275926096";"0,000027811107546960478";"0,002090386557552918";"4,9280"
"60";"4";"27,5383";"16,6027";"10,9356";"43497,74796404215";"0,0002062430372375067";"0,024282834568049135";"55,6083"
"61";"1";"3,6132";"0,8938";"2,7194";"652,0009139914048";"0,000026983571886135404";"0,002051472662343974";"4,9625"
"61";"4";"28,0692";"16,9615";"11,1077";"45553,229018398655";"0,00020324040215037253";"0,024309764346052636";"56,5814"
"62";"1";"3,6330";"0,9017";"2,7313";"689,6551690058308";"0,000026149494344591554";"0,001991325614102847";"5,0075"
"62";"4";"28,5087";"17,2569";"11,2518";"47781,95455952931";"0,0001998197188243223";"0,024066037832148144";"57,4736"
"63";"1";"3,6500";"0,9044";"2,7456";"716,5790874693317";"0,000025385593965381015";"0,0019380004661322717";"5,0373"
"63";"4";"29,0147";"17,6286";"11,3861";"50429,20841259474";"0,00019810531397142854";"0,02397002469813212";"58,4348"
