"period";"modularity_class";"avgIndegree";"avgOutdegree";"avgDegree";"avgBetweenness";"avgPageRank";"avgEigenvector"
"18";"9";"6,3077";"5,1231";"11,4308";"1096,273791738628";"0,001158987255195954";"0,05270879802546765"
"18";"10";"4,2857";"4,1667";"8,4524";"567,4174191524901";"0,0007355156715603264";"0,03257513189914866"
"18";"11";"5,1389";"4,7778";"9,9167";"771,6261490278863";"0,0009599035458904564";"0,048067916585982695"
"19";"0";"3,8929";"4,5714";"8,4643";"312,734581750191";"0,0006396341448010244";"0,02925129472374058"
"19";"1";"3,8333";"4,7143";"8,5476";"753,5071736378023";"0,0006855670018425688";"0,030923977224054506"
"19";"2";"6,2000";"5,9250";"12,1250";"1220,3823965240638";"0,0010022305624509458";"0,05520556510978758"
"19";"3";"4,2951";"4,5574";"8,8525";"881,1308193289183";"0,0007397972816312666";"0,03226894799689389"
"19";"4";"1,0000";"1,0000";"2,0000";"0";"0,00021956629661149684";"0,00052469418792674"
"19";"5";"4,2000";"4,7429";"8,9429";"786,258170861596";"0,0006773797567833776";"0,03382662585738176"
"19";"6";"4,3854";"4,6250";"9,0104";"1147,4534242429606";"0,0007621046976732594";"0,030283799223281616"
"19";"7";"4,9196";"4,9107";"9,8304";"1053,9547666470696";"0,0008802541317948782";"0,04089715937796824"
"19";"8";"5,7615";"6,2462";"12,0077";"1058,5861080817147";"0,0008737147992184645";"0,05155542558753552"
"19";"9";"4,2222";"4,0556";"8,2778";"668,9515967376602";"0,0007203924427475737";"0,030919589422435983"
"19";"10";"5,0822";"4,1370";"9,2192";"878,0331671462377";"0,0008588098246164327";"0,0343911038379512"
"19";"11";"5,5842";"4,9604";"10,5446";"967,8477716379098";"0,000913929702161689";"0,04614297003560165"
"19";"12";"6,3542";"5,1875";"11,5417";"1885,0497900723574";"0,0010160415311111538";"0,04877316825014812"
"20";"0";"5,1778";"4,6222";"9,8000";"994,4421142097451";"0,0008309747332580245";"0,04507204792742403"
"20";"1";"6,4211";"5,1974";"11,6184";"1269,9485889888365";"0,0010624435453861964";"0,050866537957683276"
"20";"2";"2,0909";"3,4091";"5,5000";"218,6740678516604";"0,0003323588561376038";"0,009567972893090682"
"20";"3";"4,5371";"4,6743";"9,2114";"1114,387554167863";"0,00069978226565448";"0,03033859999461359"
"20";"4";"3,5273";"4,1273";"7,6545";"871,918352890358";"0,0005837434048343288";"0,023402465508889112"
