"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community";"profile_1";"profile_2"
"235405";"0";"0,26633884155755044";"7";"0,2766648265145487";"0,00002191810650893231";"1";"3";"4";"0,00021615333013942775";"21";"0,3333333432674408";"3873";"0";"4";"72";"45154";"9";"1";"1"
"235406";"0";"0,2575916809558051";"7";"0,2667361984518993";"0,000045678161972569775";"1";"1";"2";"0,0021740441742133273";"21";"0";"1057";"0";"7";"72";"45155";"9";"1";"1"
"235408";"0";"0,3036843821323769";"7";"0,31961767743386205";"0,000045293021708931604";"1";"2";"3";"0,01590559638609409";"21";"0,5";"1057";"0";"3";"72";"45156";"9";"1";"1"
"235413";"0";"0,2843376433276409";"7";"0,2975894261608526";"0,00002191810650893231";"0";"13";"13";"0";"21";"0,03205128386616707";"3876";"0";"13";"72";"45160";"9";"1";"1"
"235415";"23456,42538084829";"0,3283971511176927";"6";"0,34984610979885944";"0,0003669715983290486";"12";"20";"32";"0,06331651845177037";"21";"0,3571428656578064";"1057";"0";"133";"72";"45161";"9";"4";"4"
"235417";"0";"0,2780065652044166";"7";"0,2900764685436217";"0,00002191810650893231";"0";"7";"7";"0";"1";"0,02380952425301075";"3877";"0";"7";"72";"45163";"9";"4";"4"
"235419";"0";"0,21032193976610827";"8";"0,21583348667935168";"0,00002335125510265009";"1";"1";"2";"0,00020829388178672802";"21";"0,5";"3874";"0";"2";"72";"45170";"9";"4";"4"
"235420";"0";"1";"1";"1";"0,00002191810650893231";"0";"1";"1";"0";"3";"0";"3878";"0";"1";"72";"45171";"9";"1";"4"
"235423";"0";"0";"0";"0";"0,00002335125510265009";"1";"0";"1";"0,00020829388178672802";"21";"0";"3875";"0";"1";"72";"45173";"9";"1";"1"
"235424";"0";"0,24704322460885705";"7";"0,25683412050952387";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3880";"0";"1";"72";"45177";"9";"1";"4"
"235426";"0";"0,25727699530516435";"7";"0,267008117115463";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3882";"0";"3";"72";"45178";"9";"1";"1"
"235432";"0";"0,23129251700680273";"7";"0,23855680958515518";"0,00002191810650893231";"1";"3";"4";"0,00021615333013942775";"34";"0,3333333432674408";"3887";"0";"5";"72";"45183";"9";"1";"1"
"235435";"69,90042205954704";"0,29152584804105647";"7";"0,30540902492383415";"0,00002564429285259854";"2";"4";"6";"0,0004323066602788555";"21";"0,25";"3888";"0";"6";"72";"45187";"9";"1";"1"
"235437";"0";"0,2045225027442371";"8";"0,20936381852011662";"0,00002191810650893231";"0";"1";"1";"0";"5";"0";"3889";"0";"1";"72";"45189";"9";"1";"1"
"235441";"0";"0,3091319352269711";"6";"0,3254615714899025";"0,00002191810650893231";"0";"3";"3";"0";"21";"0,6666666865348816";"3892";"0";"3";"72";"45196";"9";"1";"1"
