"id";"score";"profile_1";"profile_2"
"28205";"0";"4";"4"
"28111";"0";"4";"4"
"28162";"0";"4";"4"
"28162";"2";"4";"4"
"28148";"6";"4";"4"
"28194";"2";"4";"4"
"28111";"1";"4";"4"
"28111";"0";"4";"4"
"28148";"0";"4";"4"
"28111";"1";"4";"4"
"28162";"0";"4";"4"
"28269";"0";"4";"4"
"28139";"0";"4";"4"
"28131";"0";"4";"4"
"28168";"1";"4";"4"
"28407";"0";"4";"4"
"28407";"0";"4";"4"
"28148";"1";"4";"4"
"28139";"0";"4";"4"
"28349";"2";"4";"4"
"28151";"0";"4";"4"
"28304";"7";"4";"4"
"28090";"2";"4";"4"
"28304";"0";"4";"4"
"28304";"0";"4";"4"
"28096";"4";"4";"4"
"28096";"2";"4";"4"
"28165";"0";"4";"4"
"28194";"3";"4";"4"
"28151";"1";"4";"4"
"28151";"0";"4";"4"
"28151";"0";"4";"4"
"28416";"0";"4";"4"
"28151";"0";"4";"4"
"28111";"0";"4";"4"
"28416";"1";"4";"4"
"28324";"2";"4";"4"
"28188";"2";"4";"4"
"28188";"1";"4";"4"
"28188";"1";"4";"4"
"28215";"8";"4";"4"
"28371";"0";"4";"4"
"28162";"0";"4";"4"
"28292";"0";"4";"4"
"30400";"0";"4";"4"
"30400";"0";"4";"4"
"28422";"0";"4";"4"
"28151";"2";"4";"4"
"30400";"1";"4";"4"
"30400";"1";"4";"4"
"28194";"0";"4";"4"
"28194";"1";"4";"4"
"28167";"0";"4";"4"
"28162";"0";"4";"4"
"28108";"5";"4";"4"
"28108";"0";"4";"4"
"28431";"0";"1";"4"
"28162";"0";"4";"4"
"28154";"0";"4";"4"
"28111";"0";"4";"4"
"28154";"0";"4";"4"
"28139";"0";"4";"4"
"28194";"1";"4";"4"
"28111";"0";"4";"4"
"28391";"2";"4";"4"
"28194";"0";"4";"4"
"28366";"5";"1";"1"
"30400";"0";"4";"4"
"28154";"0";"4";"4"
"28126";"2";"4";"4"
"28149";"2";"4";"4"
"28165";"0";"4";"4"
"28194";"1";"4";"4"
"28162";"0";"4";"4"
"28438";"0";"4";"4"
"28438";"0";"4";"4"
"28151";"0";"4";"4"
"28191";"0";"4";"4"
"28162";"0";"4";"4"
"28194";"0";"4";"4"
"28148";"3";"4";"4"
"28090";"0";"4";"4"
"28194";"4";"4";"4"
"28194";"2";"4";"4"
"28151";"0";"4";"4"
"28416";"0";"4";"4"
"28151";"0";"4";"4"
"28279";"0";"4";"4"
"28148";"0";"4";"4"
"28184";"0";"4";"4"
"28162";"0";"4";"4"
"28148";"0";"4";"4"
"28148";"1";"4";"4"
"28154";"0";"4";"4"
"28448";"0";"1";"1"
"28108";"0";"4";"4"
"28165";"0";"4";"4"
"28262";"1";"4";"4"
"28391";"1";"4";"4"
"28279";"1";"4";"4"
"28111";"0";"4";"4"
"28131";"0";"4";"4"
"28151";"0";"4";"4"
"28416";"0";"4";"4"
"28154";"2";"4";"4"
"28194";"2";"4";"4"
"28151";"0";"4";"4"
"28111";"1";"4";"4"
"28199";"0";"4";"4"
"28148";"0";"4";"4"
"28184";"0";"4";"4"
"28194";"1";"4";"4"
"28090";"0";"4";"4"
"28162";"0";"4";"4"
"28184";"0";"4";"4"
"28194";"1";"4";"4"
"28311";"0";"4";"4"
"28278";"0";"4";"4"
"28188";"3";"4";"4"
"28208";"1";"4";"4"
"28280";"1";"4";"4"
"28280";"0";"4";"4"
"28224";"0";"4";"4"
"28184";"0";"4";"4"
"28188";"1";"4";"4"
"28450";"0";"4";"4"
"28151";"0";"4";"4"
"28151";"2";"4";"4"
"28194";"2";"4";"4"
"28450";"0";"4";"4"
