"id";"score";"profile_1";"profile_2"
"55111";"2";"4";"4"
"54979";"4";"4";"4"
"52914";"4";"4";"4"
"53888";"3";"4";"4"
"53948";"7";"4";"4"
"54157";"0";"1";"1"
"50562";"4";"4";"4"
"54034";"4";"4";"4"
"53888";"2";"4";"4"
"54916";"3";"4";"4"
"50179";"0";"1";"1"
"53888";"0";"4";"4"
"51537";"3";"4";"4"
"50562";"1";"4";"4"
"50562";"4";"4";"4"
"52914";"10";"4";"4"
"55114";"3";"4";"4"
"53584";"3";"4";"4"
"55115";"21";"4";"4"
"54000";"1";"4";"4"
"53584";"15";"4";"4"
"52914";"16";"4";"4"
"53529";"17";"4";"4"
"55056";"0";"1";"1"
"53098";"3";"4";"4"
"54269";"2";"4";"4"
"55082";"12";"4";"4"
"55111";"7";"4";"4"
"52914";"3";"4";"4"
"50562";"4";"4";"4"
"55114";"7";"4";"4"
"53529";"3";"4";"4"
"55111";"0";"4";"4"
"55114";"2";"4";"4"
"55111";"1";"4";"4"
"50621";"5";"4";"4"
"54453";"3";"4";"4"
"54928";"2";"4";"4"
"55117";"0";"1";"1"
"50621";"4";"4";"4"
"55118";"0";"1";"4"
"53529";"7";"4";"4"
"55119";"3";"1";"1"
"55119";"7";"1";"1"
"51928";"0";"4";"4"
"55120";"1";"1";"1"
"52978";"6";"4";"4"
"55114";"5";"4";"4"
"55119";"1";"1";"1"
"54478";"24";"4";"4"
"55124";"1";"1";"4"
"55114";"6";"4";"4"
"53529";"16";"4";"4"
"55126";"1";"1";"1"
"55130";"1";"1";"1"
"53953";"10";"4";"4"
"53888";"1";"4";"4"
"52599";"152";"4";"4"
"54066";"38";"4";"4"
"50441";"3";"4";"4"
"53529";"123";"4";"4"
"52914";"86";"4";"4"
"53529";"1";"4";"4"
"51824";"75";"4";"4"
"52914";"65";"4";"4"
"55139";"42";"4";"4"
"55143";"3";"1";"1"
"55143";"1";"1";"1"
"51655";"6";"4";"4"
"55146";"6";"1";"1"
"52998";"4";"4";"4"
"54738";"1";"4";"4"
"55117";"2";"1";"1"
"53438";"4";"4";"4"
"52998";"3";"4";"4"
"53584";"3";"4";"4"
"52914";"5";"4";"4"
"50360";"4";"4";"4"
"55111";"5";"4";"4"
"55000";"7";"4";"4"
"54842";"-1";"1";"1"
"55003";"1";"4";"4"
"53851";"4";"4";"4"
"52303";"11";"4";"4"
"55162";"2";"1";"1"
"53279";"22";"4";"4"
"55163";"1";"1";"4"
"54511";"6";"4";"4"
"54034";"11";"4";"4"
"55166";"11";"4";"4"
"55114";"0";"4";"4"
"54511";"6";"4";"4"
"50357";"13";"4";"4"
"53529";"14";"4";"4"
"54453";"0";"4";"4"
"55098";"1";"4";"4"
"55114";"3";"4";"4"
"55082";"1";"4";"4"
"55076";"5";"4";"4"
"55170";"2";"1";"1"
"52914";"7";"4";"4"
"54920";"2";"4";"4"
"54846";"5";"1";"1"
"54453";"1";"4";"4"
"55176";"3";"4";"4"
"55176";"2";"4";"4"
"50179";"0";"1";"1"
"50188";"0";"4";"4"
"50179";"0";"1";"1"
"50188";"0";"4";"4"
"50179";"0";"1";"1"
