"period";"graph_context_id";"user_id";"reputation";"id_community";"profile";"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community"
"63";"134";"51818";"3003";"10";"4";"486195";"69900,9685143082";"0,3241434360800688";"7";"0,34388502512198776";"0,00042385187175593815";"70";"28";"98";"0,044534208172716194";"16";"0,06438127160072327";"1043";"0";"162";"134";"51818";"10"
"63";"134";"50775";"2973";"10";"4";"485170";"141180,3964689689";"0,31279255791906146";"7";"0,33151210095705963";"0,0006797608599530796";"71";"30";"101";"0,04619988038975766";"16";"0,05773249641060829";"1043";"0";"120";"134";"50775";"10"
"63";"134";"75314";"2957";"10";"4";"492124";"183143,12973495436";"0,33008191083599075";"6";"0,3526393887731145";"0,0006494355569538423";"86";"43";"129";"0,05770593079061031";"36";"0,0699724555015564";"1043";"0";"310";"134";"75314";"10"
"63";"134";"74134";"2920";"10";"4";"491208";"1003454,0026901381";"0,3512075044907192";"6";"0,3786165309086166";"0,0031396107533397262";"310";"77";"387";"0,36441572842064707";"36";"0,03530415520071983";"1043";"0";"842";"134";"74134";"10"
"63";"134";"55851";"2905";"10";"4";"489579";"1451264,312330037";"0,3356647803141095";"7";"0,35702965027646233";"0,011394732821563686";"1341";"24";"1365";"0,9376445232758773";"2";"0,008766875602304935";"1043";"0";"2696";"134";"55851";"10"
"63";"134";"51579";"2905";"10";"4";"485973";"244471,64084459952";"0,3307644110275689";"7";"0,35219152256468395";"0,0008070622388087435";"79";"38";"117";"0,1000676892379339";"16";"0,07979407906532288";"1043";"0";"305";"134";"51579";"10"
"63";"134";"50206";"2843";"10";"4";"484609";"34967,1979302382";"0,3011580808945177";"7";"0,3169575767416175";"0,00031058832337922893";"34";"14";"48";"0,03697837319696657";"16";"0,15169133245944977";"1043";"0";"87";"134";"50206";"10"
"63";"134";"56802";"2825";"10";"4";"490398";"65782,79900314464";"0,3227759095077958";"7";"0,3432409637467287";"0,0006518457632762743";"58";"35";"93";"0,07069790443727453";"17";"0,09266471862792969";"1043";"0";"207";"134";"56802";"10"
"63";"134";"53948";"2785";"10";"4";"487967";"327360,3833163154";"0,3574620801733478";"7";"0,38497686250099783";"0,0015258989828659815";"131";"66";"197";"0,19599125463296863";"18";"0,09466762840747833";"1043";"0";"553";"134";"53948";"10"
"63";"134";"50257";"2772";"10";"4";"484659";"10465,86470964395";"0,3151453644558534";"7";"0,33364950071711535";"0,00013561977989994103";"15";"20";"35";"0,01275502955226444";"16";"0,24337121844291687";"1043";"0";"111";"134";"50257";"10"
"63";"134";"50548";"2751";"10";"4";"484931";"274406,5862245096";"0,36726033115347156";"6";"0,39575045778870965";"0,0005623371683303679";"48";"73";"121";"0,09673180656353673";"36";"0,13445116579532623";"1043";"0";"199";"134";"50548";"10"
"63";"134";"59471";"2705";"10";"4";"492543";"739799,7253114203";"0,3280715928158598";"7";"0,35090971414137284";"0,0044079615644108654";"376";"47";"423";"0,5129469923975262";"21";"0,03268055245280266";"1043";"0";"884";"134";"59471";"10"
"63";"134";"52998";"2689";"10";"4";"487168";"224080,85585086432";"0,34817306423954625";"7";"0,3737594602152124";"0,0008990821334029413";"82";"50";"132";"0,14992029140029892";"18";"0,11729691922664642";"1043";"0";"263";"134";"52998";"10"
"63";"134";"55220";"2660";"10";"4";"489051";"168589,25671184497";"0,3204832442933463";"7";"0,33982987398405573";"0,001101780078866144";"104";"27";"131";"0,16734624153342964";"21";"0,054258063435554504";"1043";"0";"216";"134";"55220";"10"
"63";"134";"51196";"2580";"10";"4";"485590";"136204,98340177527";"0,32246044835379634";"7";"0,3417016209779852";"0,0006381724797422639";"67";"29";"96";"0,07370265793611544";"16";"0,06945863366127014";"1043";"0";"140";"134";"51196";"10"
"63";"134";"72969";"2501";"10";"4";"490206";"293498,90628437215";"0,31837645497858996";"7";"0,33834555606670336";"0,0014954338022341938";"155";"37";"192";"0,16558371992303475";"36";"0,04112352430820465";"1043";"0";"345";"134";"72969";"10"
"63";"134";"54000";"2497";"10";"4";"488012";"368147,1308315623";"0,3478518713758566";"7";"0,37422040610142754";"0,0009373336881569208";"103";"65";"168";"0,09111102160929489";"18";"0,06411632895469666";"1043";"0";"319";"134";"54000";"10"
"63";"134";"51994";"2443";"10";"4";"486350";"191443,76093829385";"0,3357074721780604";"7";"0,35803678546620665";"0,000901470071033936";"114";"31";"145";"0,11792013890040226";"21";"0,048646487295627594";"1043";"0";"216";"134";"51994";"10"
"63";"134";"61625";"2358";"10";"4";"494231";"265656,234351487";"0,32356726938400243";"7";"0,34340964648786904";"0,0021969268063411415";"211";"29";"240";"0,3074269068619229";"7";"0,04792643338441849";"1043";"0";"594";"134";"61625";"10"
"63";"134";"57535";"2263";"10";"4";"491015";"208240,43702240346";"0,34473976359955594";"6";"0,36936604154825886";"0,0013093111905850823";"125";"42";"167";"0,20118833318973467";"36";"0,07704402506351471";"1043";"0";"370";"134";"57535";"10"
"63";"134";"52703";"2213";"10";"4";"486933";"337686,4028898067";"0,33952919989709285";"7";"0,36375125158984223";"0,0010509955897315452";"153";"56";"209";"0,10514391351738989";"36";"0,033980101346969604";"1043";"0";"380";"134";"52703";"10"
"63";"134";"55704";"2138";"10";"4";"489461";"385551,5212874747";"0,3609325858060987";"7";"0,39028089735608607";"0,0006518280702170448";"61";"87";"148";"0,08620524402636658";"18";"0,0814603939652443";"1043";"0";"268";"134";"55704";"10"
"63";"134";"54477";"2109";"10";"4";"488430";"100786,3553421298";"0,32040543821315853";"7";"0,3387072768110707";"0,0007101376165436287";"53";"22";"75";"0,10070348337808971";"18";"0,11585081368684769";"1043";"0";"212";"134";"54477";"10"
"63";"134";"50238";"2088";"10";"4";"484639";"13029,365441687623";"0,3015882084095064";"7";"0,31778655769941155";"0,0002123947506562526";"12";"13";"25";"0,01989751913001698";"16";"0,385869562625885";"1043";"0";"54";"134";"50238";"10"
"63";"134";"55082";"2064";"10";"4";"488944";"162006,7390297673";"0,322361993160723";"7";"0,34241829711614163";"0,001105397085240078";"110";"30";"140";"0,16430042141793652";"18";"0,08308866620063782";"1043";"0";"255";"134";"55082";"10"
"63";"134";"52516";"2052";"10";"4";"486775";"99234,21384127383";"0,3266910081069373";"7";"0,3483808260943925";"0,0004633170660901744";"63";"33";"96";"0,05098223851678973";"16";"0,07578027248382568";"1043";"0";"284";"134";"52516";"10"
"63";"134";"50252";"2029";"10";"4";"484652";"103363,55122199275";"0,30238286172528356";"7";"0,31894794288239103";"0,0005841251291194766";"55";"16";"71";"0,06460929383389712";"16";"0,11261872202157974";"1043";"0";"137";"134";"50252";"10"
"63";"134";"68933";"1947";"10";"4";"486801";"233735,86950225945";"0,32416334049739026";"7";"0,3455330645233908";"0,0008639529305785089";"81";"45";"126";"0,10311049400087291";"36";"0,05809595063328743";"1043";"0";"243";"134";"68933";"10"
"63";"134";"50332";"1900";"10";"4";"484732";"115146,14198718838";"0,28654399392064267";"7";"0,30070134134350324";"0,0006220898736217372";"53";"17";"70";"0,09063226706118192";"16";"0,08881118893623352";"1043";"0";"135";"134";"50332";"10"
"63";"134";"59443";"1879";"10";"4";"492517";"203901,42847103576";"0,3175911442666346";"7";"0,3382891781451991";"0,0005315879102407741";"74";"38";"112";"0,05523925519592451";"2";"0,05613861232995987";"1043";"0";"205";"134";"59443";"10"
"63";"134";"50803";"1852";"10";"4";"485201";"93885,46713399068";"0,3009177449695035";"7";"0,31541237066903854";"0,0004293049037619316";"44";"14";"58";"0,04370766712071332";"18";"0,051020409911870956";"1043";"0";"70";"134";"50803";"10"
"63";"134";"59377";"1828";"10";"4";"492467";"141729,42755763652";"0,3271566683192861";"7";"0,3483253502196356";"0,0007743667926244115";"83";"33";"116";"0,10228799163697468";"36";"0,06031498685479164";"1043";"0";"243";"134";"59377";"10"
"63";"134";"55313";"1799";"10";"4";"489136";"292458,1872442001";"0,3658604199875251";"7";"0,3951429293065838";"0,0007522474832643345";"70";"83";"153";"0,13337525384463214";"18";"0,11657674610614777";"1043";"0";"363";"134";"55313";"10"
