"id_user_source";"id_user_dest";"user_source_profile_1";"user_dest_profile_1";"user_source_profile_2";"user_dest_profile_2"
"3978";"867";"1";"4";"1";"4"
"2461";"1663";"4";"4";"4";"4"
"1064";"737";"4";"4";"4";"4"
"20296";"9378";"1";"4";"1";"4"
"845";"4346";"4";"4";"4";"4"
"6572";"3962";"4";"4";"4";"4"
"7835";"2076";"4";"4";"4";"4"
"14917";"7061";"4";"4";"4";"4"
"2423";"2423";"4";"4";"4";"4"
"3054";"5069";"4";"4";"4";"4"
"346";"4426";"4";"4";"4";"4"
"5993";"5682";"4";"4";"4";"4"
"11142";"11142";"1";"1";"4";"4"
"10622";"19906";"4";"4";"4";"4"
"5647";"1039";"1";"4";"1";"4"
"8300";"9529";"4";"4";"4";"4"
"1652";"2991";"4";"4";"4";"4"
"2026";"1437";"4";"4";"4";"4"
"11031";"228";"4";"4";"4";"4"
"7831";"10641";"4";"4";"4";"4"
"7189";"6601";"4";"4";"4";"4"
"718";"9710";"4";"4";"4";"4"
"366";"4088";"4";"4";"4";"4"
"4910";"867";"4";"4";"4";"4"
"6601";"6123";"4";"4";"4";"4"
"14078";"13442";"1";"4";"1";"4"
"3516";"4206";"4";"4";"4";"4"
"6839";"737";"4";"4";"4";"4"
"404";"11638";"4";"4";"4";"4"
"3588";"2563";"1";"4";"1";"4"
"1200";"2135";"4";"1";"4";"1"
"5142";"3965";"4";"4";"4";"4"
"1335";"4502";"4";"4";"4";"4"
"5142";"3962";"4";"4";"4";"4"
"15325";"15006";"4";"4";"4";"4"
"4723";"2316";"1";"4";"1";"4"
"67";"7303";"4";"4";"4";"4"
"1028";"676";"4";"4";"4";"4"
"3937";"4332";"4";"4";"4";"4"
"3937";"6995";"4";"4";"4";"4"
"10641";"4405";"4";"4";"4";"4"
"500";"676";"4";"4";"4";"4"
"5334";"5142";"1";"4";"1";"4"
"14375";"14719";"4";"1";"4";"4"
"3234";"10641";"4";"4";"4";"4"
"7906";"3180";"4";"4";"4";"4"
"3965";"3736";"4";"4";"4";"4"
"16894";"19451";"1";"4";"1";"4"
"3962";"2688";"4";"4";"4";"4"
"12245";"6995";"4";"4";"4";"4"
"7796";"17179";"1";"4";"4";"4"
"5917";"7224";"4";"4";"4";"4"
"1200";"4771";"4";"1";"4";"1"
"5028";"5028";"1";"1";"4";"4"
"4413";"11060";"4";"4";"4";"4"
"9700";"7336";"4";"4";"4";"4"
"1244";"42";"4";"4";"4";"4"
"2942";"83";"4";"4";"4";"4"
"3849";"2300";"1";"4";"1";"4"
"5142";"3984";"4";"4";"4";"4"
"5803";"5654";"1";"4";"1";"4"
"3473";"2576";"4";"4";"4";"4"
"3937";"12802";"4";"4";"4";"4"
"919";"13214";"4";"4";"4";"4"
"572";"234";"4";"4";"4";"4"
"14982";"9763";"4";"1";"4";"1"
"5155";"2248";"4";"4";"4";"4"
"384";"1079";"4";"4";"4";"4"
"6312";"9529";"4";"4";"4";"4"
"10108";"2248";"4";"4";"4";"4"
"1725";"6601";"4";"4";"4";"4"
"13438";"2688";"4";"4";"4";"4"
"9985";"7831";"4";"4";"4";"4"
"8181";"8330";"4";"4";"4";"4"
"213";"213";"4";"4";"4";"4"
"1802";"867";"1";"4";"1";"4"
"3473";"2563";"4";"4";"4";"4"
"3129";"3029";"4";"4";"4";"4"
"1308";"3477";"4";"4";"4";"4"
"11756";"11198";"4";"4";"4";"4"
"15325";"17682";"4";"1";"4";"4"
"1431";"1187";"4";"4";"4";"4"
"1605";"8109";"4";"4";"4";"4"
"160";"911";"4";"4";"4";"4"
"17709";"1200";"4";"4";"4";"4"
"1028";"620";"4";"4";"4";"4"
"1643";"7336";"4";"4";"4";"4"
"14894";"7595";"4";"1";"4";"4"
"686";"3802";"4";"1";"4";"1"
"15266";"12802";"1";"4";"4";"4"
"9378";"19238";"4";"4";"4";"4"
"9378";"19237";"4";"1";"4";"1"
"14097";"2076";"1";"4";"1";"4"
"2304";"2304";"4";"4";"4";"4"
"7149";"10641";"1";"4";"1";"4"
"1533";"2873";"4";"4";"4";"4"
"11198";"11186";"4";"1";"4";"1"
"3180";"6465";"4";"4";"4";"4"
"3937";"12822";"4";"4";"4";"4"
"6";"925";"4";"1";"4";"1"
"3690";"2076";"4";"4";"4";"4"
"11439";"6995";"4";"4";"4";"4"
"140";"1187";"4";"4";"4";"4"
"1709";"1576";"4";"4";"4";"4"
"16426";"9378";"4";"4";"4";"4"
"3015";"1437";"1";"4";"1";"4"
"8790";"6995";"1";"4";"4";"4"
"11198";"11198";"4";"4";"4";"4"
"14312";"2688";"4";"4";"4";"4"
"11439";"11439";"4";"4";"4";"4"
"9483";"6601";"4";"4";"4";"4"
"1431";"1121";"4";"4";"4";"4"
"2688";"17276";"4";"1";"4";"4"
"8181";"8381";"4";"1";"4";"1"
"1643";"7359";"4";"4";"4";"4"
"6602";"4575";"1";"4";"1";"4"
"9803";"15776";"4";"1";"4";"1"
"6466";"4750";"1";"4";"1";"4"
"20826";"15325";"1";"4";"1";"4"
"9978";"12786";"4";"4";"4";"4"
"1067";"3477";"1";"4";"4";"4"
"2689";"321";"4";"4";"4";"4"
"384";"425";"4";"4";"4";"4"
"2798";"5011";"4";"4";"4";"4"
"16325";"16408";"4";"4";"4";"4"
"867";"13523";"4";"1";"4";"1"
"3180";"6446";"4";"1";"4";"1"
"3159";"7879";"4";"4";"4";"4"
"867";"9483";"4";"4";"4";"4"
"3159";"7878";"4";"4";"4";"4"
"3836";"3836";"1";"1";"1";"1"
"12404";"11060";"1";"4";"1";"4"
"9849";"6601";"1";"4";"4";"4"
"1316";"215";"4";"4";"4";"4"
"21983";"3473";"1";"4";"1";"4"
