"totalPost";"userId";"profile_1";"profile_2"
"1";"55440";"4";"4"
"1";"55441";"1";"1"
"1";"55450";"1";"1"
"1";"55463";"1";"1"
"1";"55470";"1";"1"
"8";"55471";"4";"4"
"1";"55479";"1";"1"
"1";"55487";"1";"1"
"1";"55499";"1";"1"
"1";"55501";"4";"4"
"1";"55503";"1";"1"
"1";"55512";"1";"1"
"1";"55514";"1";"1"
"1";"55516";"1";"1"
"2";"55518";"4";"4"
"1";"55521";"1";"1"
"1";"55530";"1";"1"
"1";"55532";"1";"1"
"1";"55551";"1";"1"
"1";"55567";"1";"1"
"1";"55569";"4";"4"
"1";"55572";"1";"1"
"2";"55576";"1";"1"
"2";"55629";"4";"4"
"6";"55638";"4";"4"
"1";"55640";"1";"1"
"1";"55643";"1";"1"
"1";"55658";"1";"1"
"7";"55679";"4";"4"
"1";"55681";"1";"1"
"1";"55693";"1";"1"
"26";"55704";"4";"4"
"1";"55707";"1";"1"
"1";"55721";"1";"1"
"1";"55722";"1";"1"
"1";"55723";"1";"1"
"1";"55724";"4";"4"
"16";"55727";"4";"4"
"1";"55738";"1";"1"
"1";"55742";"1";"1"
"1";"55764";"4";"4"
"27";"55767";"4";"4"
"2";"55825";"1";"1"
"2";"55829";"1";"1"
"1";"55830";"1";"1"
"6";"55831";"4";"4"
"1";"55844";"1";"1"
"1";"55845";"1";"1"
"33";"55851";"4";"4"
"1";"55852";"1";"1"
"8";"55853";"4";"4"
"1";"55857";"1";"1"
"1";"55861";"4";"4"
"3";"55868";"1";"1"
"1";"55900";"4";"4"
"1";"55904";"1";"1"
"5";"55916";"4";"4"
"1";"55929";"1";"1"
"1";"55930";"1";"1"
"1";"55944";"1";"1"
"2";"55955";"4";"4"
"20";"55965";"4";"4"
"1";"55978";"1";"1"
"1";"55982";"1";"1"
"1";"55986";"1";"1"
"1";"55987";"1";"1"
"8";"55989";"4";"4"
"1";"55991";"1";"1"
"1";"56006";"1";"1"
"2";"56007";"1";"1"
"89";"56011";"4";"4"
"1";"56020";"1";"1"
"1";"56027";"1";"1"
"1";"56037";"1";"1"
"1";"56046";"1";"1"
"1";"56055";"1";"1"
"16";"56061";"4";"4"
"1";"56067";"1";"1"
"1";"56068";"4";"4"
"1";"56069";"4";"4"
"1";"56078";"1";"1"
"1";"56079";"1";"1"
"1";"56085";"4";"4"
"2";"56096";"4";"4"
"1";"56097";"1";"1"
"15";"56099";"4";"4"
"1";"56100";"1";"1"
"5";"56106";"1";"1"
"1";"56109";"1";"1"
"1";"56112";"1";"1"
"1";"56116";"4";"4"
"1";"56119";"4";"4"
"1";"56127";"4";"4"
"2";"56139";"1";"1"
"93";"56142";"4";"4"
"1";"56149";"4";"4"
"1";"56175";"1";"1"
"1";"56191";"1";"1"
"1";"56193";"1";"1"
"1";"56198";"1";"1"
"1";"56199";"1";"1"
"3";"56201";"1";"1"
"1";"56213";"1";"1"
"1";"56219";"4";"4"
"1";"56226";"1";"1"
"1";"56232";"4";"4"
"1";"56235";"1";"1"
"1";"56246";"1";"1"
"1";"56253";"1";"1"
"1";"56258";"1";"1"
"1";"56268";"1";"1"
"3";"56272";"4";"4"
"1";"56274";"1";"1"
"4";"56294";"4";"4"
"1";"56298";"1";"1"
"3";"56307";"4";"4"
"1";"56311";"1";"1"
"1";"56312";"1";"1"
"1";"56317";"1";"1"
"1";"56318";"1";"1"
"200";"56319";"4";"4"
"2";"56321";"1";"4"
"13";"56328";"4";"4"
"1";"56331";"1";"4"
"1";"56333";"1";"1"
"24";"56344";"4";"4"
"1";"56349";"1";"1"
"1";"56363";"1";"1"
"1";"56369";"1";"1"
"7";"56372";"4";"4"
"1";"56375";"1";"1"
"8";"56376";"4";"4"
"40";"56378";"4";"4"
"1";"56380";"1";"4"
"1";"56383";"1";"1"
"1";"56385";"1";"1"
"4";"56397";"4";"4"
"1";"56403";"4";"4"
"2";"56404";"1";"1"
"1";"56428";"1";"1"
"3";"56443";"1";"1"
"1";"56452";"1";"1"
"1";"56456";"4";"4"
"1";"56464";"4";"4"
"1";"56474";"1";"1"
"1";"56476";"1";"1"
"3";"56490";"4";"4"
"1";"56511";"4";"4"
"3";"56512";"1";"1"
"1";"56513";"1";"1"
"2";"56524";"1";"1"
"1";"56527";"1";"1"
"1";"56530";"4";"4"
"1";"56533";"1";"1"
"1";"56535";"1";"1"
"3";"56541";"4";"4"
"1";"56544";"1";"1"
"4";"56547";"4";"4"
"1";"56549";"1";"1"
"1";"56557";"4";"4"
"3";"56576";"1";"1"
"6";"56579";"4";"4"
"3";"56585";"4";"4"
"3";"56600";"4";"4"
"1";"56607";"1";"1"
"1";"56615";"4";"4"
"1";"56616";"1";"1"
"2";"56628";"1";"1"
"2";"56632";"4";"4"
"1";"56645";"1";"1"
"1";"56646";"1";"1"
"2";"56647";"1";"1"
"2";"56648";"1";"1"
"1";"56663";"1";"1"
"1";"56665";"1";"4"
"4";"56666";"4";"4"
"1";"56672";"1";"1"
"1";"56674";"1";"1"
"1";"56679";"1";"1"
"1";"56680";"1";"1"
"1";"56695";"1";"1"
"1";"56709";"1";"1"
"7";"56710";"4";"4"
"1";"56719";"1";"1"
"2";"56720";"4";"4"
"5";"56722";"1";"4"
"2";"56727";"1";"1"
"1";"56728";"4";"4"
"1";"56735";"1";"1"
